Year,Month,Day,Hour,heat_consumption
2016,December,1,15,229
2016,December,1,16,226
2016,December,1,17,222
2016,December,1,18,213
2016,December,1,19,218
2016,December,1,20,220
2016,December,1,21,219
2016,December,1,22,217
2016,December,1,23,182
2016,December,2,0,1
2016,December,2,1,5
2016,December,2,2,10
2016,December,2,3,14
2016,December,2,4,13
2016,December,2,5,15
2016,December,2,6,104
2016,December,2,7,382
2016,December,2,8,304
2016,December,2,9,262
2016,December,2,10,244
2016,December,2,11,239
2016,December,2,12,248
2016,December,2,13,252
2016,December,2,14,236
2016,December,2,15,239
2016,December,2,16,240
2016,December,2,17,240
2016,December,2,18,231
2016,December,2,19,233
2016,December,2,20,235
2016,December,2,21,234
2016,December,2,22,234
2016,December,2,23,192
2016,December,3,0,2
2016,December,3,1,6
2016,December,3,2,11
2016,December,3,3,13
2016,December,3,4,17
2016,December,3,5,15
2016,December,3,6,112
2016,December,3,7,401
2016,December,3,8,275
2016,December,3,9,241
2016,December,3,10,233
2016,December,3,11,234
2016,December,3,12,234
2016,December,3,13,233
2016,December,3,14,231
2016,December,3,15,233
2016,December,3,16,233
2016,December,3,17,231
2016,December,3,18,233
2016,December,3,19,230
2016,December,3,20,235
2016,December,3,21,234
2016,December,3,22,230
2016,December,3,23,195
2016,December,4,0,2
2016,December,4,1,5
2016,December,4,2,4
2016,December,4,3,5
2016,December,4,4,4
2016,December,4,5,6
2016,December,4,6,67
2016,December,4,7,350
2016,December,4,8,312
2016,December,4,9,272
2016,December,4,10,257
2016,December,4,11,241
2016,December,4,12,231
2016,December,4,13,235
2016,December,4,14,222
2016,December,4,15,225
2016,December,4,16,226
2016,December,4,17,230
2016,December,4,18,230
2016,December,4,19,236
2016,December,4,20,234
2016,December,4,21,234
2016,December,4,22,235
2016,December,4,23,198
2016,December,5,0,1
2016,December,5,1,5
2016,December,5,2,8
2016,December,5,3,9
2016,December,5,4,9
2016,December,5,5,9
2016,December,5,6,77
2016,December,5,7,344
2016,December,5,8,344
2016,December,5,9,320
2016,December,5,10,278
2016,December,5,11,275
2016,December,5,12,265
2016,December,5,13,257
2016,December,5,14,248
2016,December,5,15,254
2016,December,5,16,266
2016,December,5,17,257
2016,December,5,18,260
2016,December,5,19,255
2016,December,5,20,255
2016,December,5,21,260
2016,December,5,22,260
2016,December,5,23,216
2016,December,6,0,2
2016,December,6,1,6
2016,December,6,2,13
2016,December,6,3,10
2016,December,6,4,13
2016,December,6,5,12
2016,December,6,6,98
2016,December,6,7,379
2016,December,6,8,342
2016,December,6,9,308
2016,December,6,10,284
2016,December,6,11,251
2016,December,6,12,255
2016,December,6,13,263
2016,December,6,14,251
2016,December,6,15,254
2016,December,6,16,260
2016,December,6,17,255
2016,December,6,18,239
2016,December,6,19,240
2016,December,6,20,237
2016,December,6,21,239
2016,December,6,22,228
2016,December,6,23,200
2016,December,7,0,2
2016,December,7,1,6
2016,December,7,2,8
2016,December,7,3,11
2016,December,7,4,11
2016,December,7,5,12
2016,December,7,6,79
2016,December,7,7,341
2016,December,7,8,335
2016,December,7,9,278
2016,December,7,10,237
2016,December,7,11,228
2016,December,7,12,215
2016,December,7,13,220
2016,December,7,14,219
2016,December,7,15,217
2016,December,7,16,213
2016,December,7,17,216
2016,December,7,18,214
2016,December,7,19,214
2016,December,7,20,211
2016,December,7,21,214
2016,December,7,22,214
2016,December,7,23,181
2016,December,8,0,1
2016,December,8,1,3
2016,December,8,2,5
2016,December,8,3,6
2016,December,8,4,7
2016,December,8,5,8
2016,December,8,6,82
2016,December,8,7,349
2016,December,10,7,381
2016,December,10,8,225
2016,December,10,9,183
2016,December,10,10,185
2016,December,10,11,179
2016,December,10,12,181
2016,December,10,13,183
2016,December,10,14,180
2016,December,10,15,179
2016,December,10,16,177
2016,December,10,17,185
2016,December,10,18,181
2016,December,10,19,180
2016,December,10,20,184
2016,December,10,21,185
2016,December,10,22,184
2016,December,10,23,158
2016,December,11,0,1
2016,December,11,1,3
2016,December,11,2,4
2016,December,11,3,6
2016,December,11,4,7
2016,December,11,5,9
2016,December,11,6,80
2016,December,11,7,386
2016,December,11,8,251
2016,December,11,9,198
2016,December,11,10,205
2016,December,11,11,196
2016,December,11,12,193
2016,December,11,13,196
2016,December,11,14,192
2016,December,11,15,191
2016,December,11,16,188
2016,December,11,17,189
2016,December,11,18,191
2016,December,11,19,191
2016,December,11,20,189
2016,December,11,21,186
2016,December,11,22,188
2016,December,11,23,159
2016,December,12,0,1
2016,December,12,1,3
2016,December,12,2,6
2016,December,12,3,7
2016,December,12,4,8
2016,December,12,5,7
2016,December,12,6,73
2016,December,12,7,332
2016,December,12,8,312
2016,December,12,9,249
2016,December,12,10,234
2016,December,12,11,229
2016,December,12,12,223
2016,December,12,13,219
2016,December,12,14,216
2016,December,12,15,218
2016,December,12,16,218
2016,December,12,17,214
2016,December,12,18,200
2016,December,12,19,194
2016,December,12,20,194
2016,December,12,21,206
2016,December,12,22,204
2016,December,12,23,169
2016,December,13,0,1
2016,December,13,1,4
2016,December,13,2,8
2016,December,13,3,7
2016,December,13,4,9
2016,December,13,5,10
2016,December,13,6,80
2016,December,13,7,327
2016,December,13,8,314
2016,December,13,9,228
2016,December,13,10,211
2016,December,13,11,208
2016,December,13,12,209
2016,December,13,13,218
2016,December,13,14,213
2016,December,13,15,192
2016,December,13,16,202
2016,December,13,17,201
2016,December,13,18,185
2016,December,13,19,186
2016,December,13,20,176
2016,December,13,21,182
2016,December,13,22,181
2016,December,13,23,154
2016,December,14,0,2
2016,December,14,1,3
2016,December,14,2,9
2016,December,14,3,10
2016,December,14,4,11
2016,December,14,5,11
2016,December,14,6,84
2016,December,18,7,410
2016,December,18,8,251
2016,December,18,9,221
2016,December,18,10,222
2016,December,18,11,216
2016,December,18,12,214
2016,December,18,13,205
2016,December,18,14,199
2016,December,18,15,205
2016,December,18,16,203
2016,December,18,17,205
2016,December,18,18,201
2016,December,18,19,200
2016,December,18,20,204
2016,December,18,21,202
2016,December,18,22,200
2016,December,18,23,176
2016,December,19,0,0
2016,December,19,1,2
2016,December,19,2,6
2016,December,19,3,7
2016,December,19,4,7
2016,December,19,5,7
2016,December,19,6,73
2016,December,19,7,314
2016,December,19,8,312
2016,December,19,9,271
2016,December,19,10,239
2016,December,19,11,244
2016,December,19,12,235
2016,December,19,13,228
2016,December,19,14,228
2016,December,19,15,220
2016,December,19,16,217
2016,December,19,17,212
2016,December,19,18,204
2016,December,19,19,191
2016,December,19,20,190
2016,December,19,21,195
2016,December,19,22,193
2016,December,19,23,160
2016,December,20,0,2
2016,December,20,1,5
2016,December,20,2,9
2016,December,20,3,10
2016,December,20,4,15
2016,December,20,5,15
2016,December,20,6,111
2016,December,20,7,394
2016,December,20,8,278
2016,December,20,9,235
2016,December,20,10,232
2016,December,20,11,227
2016,December,20,12,233
2016,December,20,13,226
2016,December,20,14,219
2016,December,20,15,229
2016,December,20,16,232
2016,December,20,17,230
2016,December,20,18,217
2016,December,20,19,214
2016,December,20,20,215
2016,December,20,21,208
2016,December,20,22,208
2016,December,20,23,176
2016,December,21,0,1
2016,December,21,1,5
