Year of Timestamp,Month of Timestamp,Day of Timestamp,Hour of Timestamp,elec_consumption
2016,December,1,0,16
2016,December,1,1,15
2016,December,1,2,14
2016,December,1,3,15
2016,December,1,4,14
2016,December,1,5,15.5
2016,December,1,6,17.5
2016,December,1,7,23
2016,December,1,8,30
2016,December,1,9,41
2016,December,1,10,46
2016,December,1,11,48.5
2016,December,1,12,53
2016,December,1,13,53.5
2016,December,1,14,55
2016,December,1,15,52.5
2016,December,1,16,53.5
2016,December,1,17,49
2016,December,1,18,46
2016,December,1,19,42.5
2016,December,1,20,36.5
2016,December,1,21,32.5
2016,December,1,22,30
2016,December,1,23,23
2016,December,2,0,16
2016,December,2,1,14
2016,December,2,2,14
2016,December,2,3,13.5
2016,December,2,4,14.5
2016,December,2,5,15
2016,December,2,6,18
2016,December,2,7,23
2016,December,2,8,31.5
2016,December,2,9,38
2016,December,2,10,45
2016,December,2,11,49
2016,December,2,12,50
2016,December,2,13,47
2016,December,2,14,48
2016,December,2,15,48.5
2016,December,2,16,50.5
2016,December,2,17,46
2016,December,2,18,41
2016,December,2,19,35.5
2016,December,2,20,30
2016,December,2,21,26.5
2016,December,2,22,25
2016,December,2,23,24.5
2016,December,3,0,16
2016,December,3,1,15
2016,December,3,2,14.5
2016,December,3,3,13.5
2016,December,3,4,13.5
2016,December,3,5,13.5
2016,December,3,6,19
2016,December,3,7,22
2016,December,3,8,22.5
2016,December,3,9,21
2016,December,3,10,21.5
2016,December,3,11,22
2016,December,3,12,23.5
2016,December,3,13,25
2016,December,3,14,24
2016,December,3,15,24
2016,December,3,16,25
2016,December,3,17,23
2016,December,3,18,26
2016,December,3,19,26
2016,December,3,20,25
2016,December,3,21,25
2016,December,3,22,24.5
2016,December,3,23,22.5
2016,December,4,0,15.5
2016,December,4,1,14
2016,December,4,2,14
2016,December,4,3,13.5
2016,December,4,4,14
2016,December,4,5,13.5
2016,December,4,6,15.5
2016,December,4,7,22.5
2016,December,4,8,21.5
2016,December,4,9,22
2016,December,4,10,22.5
2016,December,4,11,24.5
2016,December,4,12,25
2016,December,4,13,28
2016,December,4,14,27.5
2016,December,4,15,27.5
2016,December,4,16,29
2016,December,4,17,31
2016,December,4,18,32.5
2016,December,4,19,31.5
2016,December,4,20,30.5
2016,December,4,21,29
2016,December,4,22,29.5
2016,December,4,23,23.5
2016,December,5,0,15
2016,December,5,1,14.5
2016,December,5,2,13
2016,December,5,3,14
2016,December,5,4,13.5
2016,December,5,5,14.5
2016,December,5,6,19.5
2016,December,5,7,23.5
2016,December,5,8,31.5
2016,December,5,9,38
2016,December,5,10,42.5
2016,December,5,11,48
2016,December,5,12,50.5
2016,December,5,13,50.5
2016,December,5,14,51
2016,December,5,15,52.5
2016,December,5,16,53
2016,December,5,17,52
2016,December,5,18,45.5
2016,December,5,19,39
2016,December,5,20,33.5
2016,December,5,21,31
2016,December,5,22,28
2016,December,5,23,23.5
2016,December,6,0,15
2016,December,6,1,16.5
2016,December,6,2,14.5
2016,December,6,3,15
2016,December,6,4,14.5
2016,December,6,5,15
2016,December,6,6,20
2016,December,6,7,23
2016,December,6,8,32
2016,December,6,9,41
2016,December,6,10,50
2016,December,6,11,52.5
2016,December,6,12,52.5
2016,December,6,13,55.5
2016,December,6,14,54.5
2016,December,6,15,52.5
2016,December,6,16,57
2016,December,6,17,53
2016,December,6,18,49
2016,December,6,19,43.5
2016,December,6,20,37.5
2016,December,6,21,34
2016,December,6,22,29
2016,December,6,23,22.5
2016,December,7,0,13.5
2016,December,7,1,13
2016,December,7,2,13
2016,December,7,3,12
2016,December,7,4,12.5
2016,December,7,5,13
2016,December,7,6,15.5
2016,December,7,7,21
