Year,Month,Day,Hour,elec_consumption
2016,December,1,0,32
2016,December,1,1,30
2016,December,1,2,28
2016,December,1,3,30
2016,December,1,4,28
2016,December,1,5,31
2016,December,1,6,35
2016,December,1,7,46
2016,December,1,8,60
2016,December,1,9,82
2016,December,1,10,92
2016,December,1,11,97
2016,December,1,12,106
2016,December,1,13,107
2016,December,1,14,110
2016,December,1,15,105
2016,December,1,16,107
2016,December,1,17,98
2016,December,1,18,92
2016,December,1,19,85
2016,December,1,20,73
2016,December,1,21,65
2016,December,1,22,60
2016,December,1,23,46
2016,December,2,0,32
2016,December,2,1,28
2016,December,2,2,28
2016,December,2,3,27
2016,December,2,4,29
2016,December,2,5,30
2016,December,2,6,36
2016,December,2,7,46
2016,December,2,8,63
2016,December,2,9,76
2016,December,2,10,90
2016,December,2,11,98
2016,December,2,12,100
2016,December,2,13,94
2016,December,2,14,96
2016,December,2,15,97
2016,December,2,16,101
2016,December,2,17,92
2016,December,2,18,82
2016,December,2,19,71
2016,December,2,20,60
2016,December,2,21,53
2016,December,2,22,50
2016,December,2,23,49
2016,December,3,0,32
2016,December,3,1,30
2016,December,3,2,29
2016,December,3,3,27
2016,December,3,4,27
2016,December,3,5,27
2016,December,3,6,38
2016,December,3,7,44
2016,December,3,8,45
2016,December,3,9,42
2016,December,3,10,43
2016,December,3,11,44
2016,December,3,12,47
2016,December,3,13,50
2016,December,3,14,48
2016,December,3,15,48
2016,December,3,16,50
2016,December,3,17,46
2016,December,3,18,52
2016,December,3,19,52
2016,December,3,20,50
2016,December,3,21,50
2016,December,3,22,49
2016,December,3,23,45
2016,December,4,0,31
2016,December,4,1,28
2016,December,4,2,28
2016,December,4,3,27
2016,December,4,4,28
2016,December,4,5,27
2016,December,4,6,31
2016,December,4,7,45
2016,December,4,8,43
2016,December,4,9,44
2016,December,4,10,45
2016,December,4,11,49
2016,December,4,12,50
2016,December,4,13,56
2016,December,4,14,55
2016,December,4,15,55
2016,December,4,16,58
2016,December,4,17,62
2016,December,4,18,65
2016,December,4,19,63
2016,December,4,20,61
2016,December,4,21,58
2016,December,4,22,59
2016,December,4,23,47
2016,December,5,0,30
2016,December,5,1,29
2016,December,5,2,26
2016,December,5,3,28
2016,December,5,4,27
2016,December,5,5,29
2016,December,5,6,39
2016,December,5,7,47
2016,December,5,8,63
2016,December,5,9,76
2016,December,5,10,85
2016,December,5,11,96
2016,December,5,12,101
2016,December,5,13,101
2016,December,5,14,102
2016,December,5,15,105
2016,December,5,16,106
2016,December,5,17,104
2016,December,5,18,91
2016,December,5,19,78
2016,December,5,20,67
2016,December,5,21,62
2016,December,5,22,56
2016,December,5,23,47
2016,December,6,0,30
2016,December,6,1,33
2016,December,6,2,29
2016,December,6,3,30
2016,December,6,4,29
2016,December,6,5,30
2016,December,6,6,40
2016,December,6,7,46
2016,December,6,8,64
2016,December,6,9,82
2016,December,6,10,100
2016,December,6,11,105
2016,December,6,12,105
2016,December,6,13,111
2016,December,6,14,109
2016,December,6,15,105
2016,December,6,16,114
2016,December,6,17,106
2016,December,6,18,98
2016,December,6,19,87
2016,December,6,20,75
2016,December,6,21,68
2016,December,6,22,58
2016,December,6,23,45
2016,December,7,0,27
2016,December,7,1,26
2016,December,7,2,26
2016,December,7,3,24
2016,December,7,4,25
2016,December,7,5,26
2016,December,7,6,31
2016,December,7,7,42
2016,December,7,8,61
2016,December,7,9,78
2016,December,7,10,90
2016,December,7,11,97
2016,December,7,12,100
2016,December,7,13,102
2016,December,7,14,106
2016,December,7,15,100
2016,December,7,16,100
2016,December,7,17,93
2016,December,7,18,85
2016,December,7,19,82
2016,December,7,20,67
2016,December,7,21,57
2016,December,7,22,54
2016,December,7,23,43
2016,December,8,0,28
2016,December,8,1,27
2016,December,8,2,25
2016,December,8,3,26
2016,December,8,4,25
2016,December,8,5,26
2016,December,8,6,33
2016,December,8,7,41
2016,December,10,7,43
2016,December,10,8,44
2016,December,10,9,45
2016,December,10,10,51
