Year,Month,Day,Hour,air_temp
2016,December,1,0,7.09
2016,December,1,1,7.53
2016,December,1,2,7.57
2016,December,1,3,7.8
2016,December,1,4,7.84
2016,December,1,5,8.31
2016,December,1,6,8.06
2016,December,1,7,7.8
2016,December,1,8,8.11
2016,December,1,9,8.56
2016,December,1,10,9.03
2016,December,1,11,9.3
2016,December,1,12,9.36
2016,December,1,13,8.93
2016,December,1,14,8.71
2016,December,1,15,8.75
2016,December,1,16,8.71
2016,December,1,17,8.33
2016,December,1,18,7.82
2016,December,1,19,6.88
2016,December,1,20,7.28
2016,December,1,21,7
2016,December,1,22,6.62
2016,December,1,23,6.32
2016,December,2,0,6.28
2016,December,2,1,6.17
2016,December,2,2,6.21
2016,December,2,3,6.26
2016,December,2,4,6.36
2016,December,2,5,6.57
2016,December,2,6,6.14
2016,December,2,7,6.33
2016,December,2,8,5.8
2016,December,2,9,6.09
2016,December,2,10,6.88
2016,December,2,11,6.79
2016,December,2,12,7.28
2016,December,2,13,7.74
2016,December,2,14,7.65
2016,December,2,15,7.38
2016,December,2,16,6.64
2016,December,2,17,6.47
2016,December,2,18,5.52
2016,December,2,19,5
2016,December,2,20,4.42
2016,December,2,21,5.07
2016,December,2,22,4.99
2016,December,2,23,5.87
2016,December,3,0,6.3
2016,December,3,1,6.39
2016,December,3,2,6.37
2016,December,3,3,5.88
2016,December,3,4,5.3
2016,December,3,5,5.2
2016,December,3,6,4.8
2016,December,3,7,4.26
2016,December,3,8,3.34
2016,December,3,9,5.18
2016,December,3,10,6.26
2016,December,3,11,5.99
2016,December,3,12,6.01
2016,December,3,13,5.97
2016,December,3,14,5.76
2016,December,3,15,5.33
2016,December,3,16,4.93
2016,December,3,17,4.48
2016,December,3,18,4.25
2016,December,3,19,4.59
2016,December,3,20,4.36
2016,December,3,21,4.35
2016,December,3,22,4.5
2016,December,3,23,3.31
2016,December,4,0,1.81
2016,December,4,1,1.7
2016,December,4,2,2.39
2016,December,4,3,2.19
2016,December,4,4,3.51
2016,December,4,5,3.23
2016,December,4,6,2.96
2016,December,4,7,3.24
2016,December,4,8,3.54
2016,December,4,9,4.47
2016,December,4,10,5.71
2016,December,4,11,6.47
2016,December,4,12,6.75
2016,December,4,13,6.75
2016,December,4,14,6.68
2016,December,4,15,5.7
2016,December,4,16,4.89
2016,December,4,17,4.84
2016,December,4,18,4.61
2016,December,4,19,4.43
2016,December,4,20,4.17
2016,December,4,21,4.17
2016,December,4,22,3.91
2016,December,4,23,3.83
2016,December,5,0,4.1
2016,December,5,1,3.98
2016,December,5,2,3.64
2016,December,5,3,3.41
2016,December,5,4,3.7
2016,December,5,5,3.63
2016,December,5,6,3.51
2016,December,5,7,3.72
2016,December,5,8,3.53
2016,December,5,9,3.9
2016,December,5,10,4.58
2016,December,5,11,5.15
2016,December,5,12,5.9
2016,December,5,13,6.09
2016,December,5,14,5.37
2016,December,5,15,5.06
2016,December,5,16,5.33
2016,December,5,17,4.63
2016,December,5,18,4.81
2016,December,5,19,4.66
2016,December,5,20,5.04
2016,December,5,21,5.39
2016,December,5,22,5.29
2016,December,5,23,5.55
2016,December,6,0,5.54
2016,December,6,1,6.43
2016,December,6,2,5.97
2016,December,6,3,4.09
2016,December,6,4,5.13
2016,December,6,5,5.11
2016,December,6,6,5.2
2016,December,6,7,5.48
2016,December,6,8,6.87
2016,December,6,9,7.43
2016,December,6,10,7.65
2016,December,6,11,7.92
2016,December,6,12,8.38
2016,December,6,13,8.05
2016,December,6,14,7.72
2016,December,6,15,7.63
2016,December,6,16,7.88
2016,December,6,17,8.19
2016,December,6,18,8.03
2016,December,6,19,8.79
2016,December,6,20,9.93
2016,December,6,21,10.47
2016,December,6,22,10.99
2016,December,6,23,10.55
2016,December,7,0,10.52
2016,December,7,1,10.46
2016,December,7,2,10.53
2016,December,7,3,10.69
2016,December,7,4,10.69
2016,December,7,5,11.12
2016,December,7,6,11.01
2016,December,7,7,11.12
2016,December,7,8,11.54
2016,December,7,9,11.75
2016,December,7,10,11.62
2016,December,7,11,12.34
2016,December,7,12,12.8
2016,December,7,13,13.27
2016,December,7,14,13.43
2016,December,7,15,13.87
2016,December,7,16,14.05
2016,December,7,17,13.88
2016,December,7,18,13.34
2016,December,7,19,12.68
2016,December,7,20,12.32
2016,December,7,21,11.98
2016,December,7,22,11.81
2016,December,7,23,11.89
2016,December,8,0,11.64
2016,December,8,1,11.32
2016,December,8,2,11.3
2016,December,8,3,11.17
2016,December,8,4,11.06
2016,December,8,5,10.96
2016,December,8,6,11.68
2016,December,8,7,11.89
2016,December,8,8,11.87
2016,December,8,9,11.84
2016,December,8,10,12.01
2016,December,8,11,12.19
2016,December,8,12,11.23
2016,December,8,13,10.98
2016,December,8,14,10.19
2016,December,8,15,9.84
2016,December,8,16,9.49
2016,December,8,17,9.26
2016,December,8,18,8.87
2016,December,8,19,7.95
2016,December,8,20,7.8
2016,December,8,21,7.69
2016,December,8,22,7.79
2016,December,8,23,8.29
2016,December,9,0,9.48
2016,December,9,1,9.7
2016,December,9,2,10.43
2016,December,9,3,11.08
2016,December,9,4,11.53
2016,December,9,5,11.73
2016,December,9,6,11.89
2016,December,9,7,12.13
2016,December,9,8,12.28
2016,December,9,9,12.14
2016,December,9,10,12.26
2016,December,9,11,12.02
2016,December,9,12,11.53
2016,December,9,13,11.27
2016,December,9,14,11.28
2016,December,9,15,11.33
2016,December,9,16,11.29
2016,December,9,17,11.32
2016,December,9,18,11.02
2016,December,9,19,10.19
2016,December,9,20,9.78
2016,December,9,21,9.69
2016,December,9,22,9.72
2016,December,9,23,9.85
2016,December,10,0,10.17
2016,December,10,1,10.24
2016,December,10,2,10.07
2016,December,10,3,9.97
2016,December,10,4,9.67
2016,December,10,5,9.61
2016,December,10,6,9.04
2016,December,10,7,8.93
2016,December,10,8,9.02
2016,December,10,9,8.77
2016,December,10,10,9
2016,December,10,11,9.05
2016,December,10,12,9.43
2016,December,10,13,9.4
2016,December,10,14,9.25
