Year,Month,Day,Hour,concrete_temp
2016,December,1,0,4.63
2016,December,1,1,5.89
2016,December,1,2,5.7
2016,December,1,3,6.31
2016,December,1,4,6.5
2016,December,1,5,7.19
2016,December,1,6,7.08
2016,December,1,7,6.71
2016,December,1,8,6.65
2016,December,1,9,7.36
2016,December,1,10,9.74
2016,December,1,11,9.22
2016,December,1,12,8.82
2016,December,1,13,8.49
2016,December,1,14,8.49
2016,December,1,15,8.21
2016,December,1,16,7.91
2016,December,1,17,7.6
2016,December,1,18,6.99
2016,December,1,19,5.87
2016,December,1,20,6.34
2016,December,1,21,5.98
2016,December,1,22,5.85
2016,December,1,23,5.75
2016,December,2,0,5.7
2016,December,2,1,5.66
2016,December,2,2,5.63
2016,December,2,3,5.57
2016,December,2,4,5.53
2016,December,2,5,5.52
2016,December,2,6,5.39
2016,December,2,7,5.39
2016,December,2,8,5.33
2016,December,2,9,5.91
2016,December,2,10,6.63
2016,December,2,11,7.25
2016,December,2,12,8.27
2016,December,2,13,8.56
2016,December,2,14,7.96
2016,December,2,15,6.85
2016,December,2,16,5.89
2016,December,2,17,5.54
2016,December,2,18,4.17
2016,December,2,19,3.76
2016,December,2,20,3.47
2016,December,2,21,4.14
2016,December,2,22,4.35
2016,December,2,23,4.75
2016,December,3,0,5.26
2016,December,3,1,5.33
2016,December,3,2,5.24
2016,December,3,3,5.1
2016,December,3,4,4.64
2016,December,3,5,4.49
2016,December,3,6,3.91
2016,December,3,7,3.19
2016,December,3,8,2.33
2016,December,3,9,6.43
2016,December,3,10,7.57
2016,December,3,11,6.31
2016,December,3,12,5.97
2016,December,3,13,5.91
2016,December,3,14,5.64
2016,December,3,15,5.02
2016,December,3,16,4.52
2016,December,3,17,4.33
2016,December,3,18,3.96
2016,December,3,19,4.17
2016,December,3,20,4.11
2016,December,3,21,4.04
2016,December,3,22,4.06
2016,December,3,23,2.34
2016,December,4,0,1.05
2016,December,4,1,0.75
2016,December,4,2,0.51
2016,December,4,3,0.42
2016,December,4,4,1.89
2016,December,4,5,1.89
2016,December,4,6,1.66
2016,December,4,7,1.84
2016,December,4,8,2.11
2016,December,4,9,4.83
2016,December,4,10,7.78
2016,December,4,11,9.43
2016,December,4,12,9.39
2016,December,4,13,8.76
2016,December,4,14,7.33
2016,December,4,15,4.65
2016,December,4,16,3.39
2016,December,4,17,3.46
2016,December,4,18,3.56
2016,December,4,19,3.44
2016,December,4,20,3.09
2016,December,4,21,3.15
2016,December,4,22,2.38
2016,December,4,23,2.21
2016,December,5,0,2.82
2016,December,5,1,2.58
2016,December,5,2,1.92
2016,December,5,3,1.33
2016,December,5,4,1.76
2016,December,5,5,1.39
2016,December,5,6,1.36
2016,December,5,7,2.31
2016,December,5,8,2.33
2016,December,5,9,3.35
2016,December,5,10,4.4
2016,December,5,11,6.03
2016,December,5,12,7.35
2016,December,5,13,6.92
2016,December,5,14,5.49
2016,December,5,15,3.71
2016,December,5,16,3.89
2016,December,5,17,3.4
2016,December,5,18,3.29
2016,December,5,19,3.09
2016,December,5,20,3.19
2016,December,5,21,3.69
2016,December,5,22,3.29
2016,December,5,23,3.38
2016,December,6,0,3.55
2016,December,6,1,4.22
2016,December,6,2,4.31
2016,December,6,3,2.42
2016,December,6,4,3.26
2016,December,6,5,3.7
2016,December,6,6,3.69
2016,December,6,7,4.32
2016,December,6,8,5.27
2016,December,6,9,6.33
2016,December,6,10,6.9
2016,December,6,11,7.87
2016,December,6,12,8.66
2016,December,6,13,8.16
2016,December,6,14,7.62
2016,December,6,15,7.18
2016,December,6,16,7.11
2016,December,6,17,6.91
2016,December,6,18,6.64
2016,December,6,19,7.14
2016,December,6,20,7.82
2016,December,6,21,8.4
2016,December,6,22,8.78
2016,December,6,23,8.62
2016,December,7,0,8.61
2016,December,7,1,8.53
2016,December,7,2,8.44
2016,December,7,3,8.47
2016,December,7,4,8.35
2016,December,7,5,9.1
2016,December,7,6,9.32
2016,December,7,7,10
2016,December,7,8,10.44
2016,December,7,9,10.81
2016,December,7,10,10.48
2016,December,7,11,10.99
2016,December,7,12,11.84
2016,December,7,13,13.35
2016,December,7,14,12.53
2016,December,7,15,12.71
2016,December,7,16,12.77
2016,December,7,17,12.36
2016,December,7,18,11.65
2016,December,7,19,11.51
2016,December,7,20,11.43
2016,December,7,21,11.37
2016,December,7,22,11.31
2016,December,7,23,11.33
2016,December,8,0,11.17
2016,December,8,1,10.93
2016,December,8,2,10.89
2016,December,8,3,10.78
2016,December,8,4,10.61
2016,December,8,5,10.49
2016,December,8,6,10.82
2016,December,8,7,11.11
2016,December,8,8,11.15
2016,December,8,9,11.28
2016,December,8,10,11.53
2016,December,8,11,11.79
2016,December,8,12,11.37
2016,December,8,13,11.59
2016,December,8,14,10.95
2016,December,8,15,10.36
2016,December,8,16,9.87
2016,December,8,17,9.58
2016,December,8,18,8.63
2016,December,8,19,7.02
2016,December,8,20,6.48
2016,December,8,21,6.31
2016,December,8,22,6.23
2016,December,8,23,6.74
2016,December,9,0,7.93
2016,December,9,1,8.43
2016,December,9,2,9.24
2016,December,9,3,9.76
