Year,Month,Day,Hour,temp
2016,December,1,0,6.86
2016,December,1,1,7.34
2016,December,1,2,7.36
2016,December,1,3,7.6
2016,December,1,4,7.61
2016,December,1,5,8.16
2016,December,1,6,7.92
2016,December,1,7,7.59
2016,December,1,8,7.88
2016,December,1,9,8.39
2016,December,1,10,8.87
2016,December,1,11,9.15
2016,December,1,12,9.23
2016,December,1,13,8.79
2016,December,1,14,8.54
2016,December,1,15,8.57
2016,December,1,16,8.55
2016,December,1,17,8.18
2016,December,1,18,7.68
2016,December,1,19,6.7
2016,December,1,20,7.09
2016,December,1,21,6.81
2016,December,1,22,6.44
2016,December,1,23,6.14
2016,December,2,0,6.08
2016,December,2,1,5.98
2016,December,2,2,6.07
2016,December,2,3,6.08
2016,December,2,4,6.18
2016,December,2,5,6.33
2016,December,2,6,5.98
2016,December,2,7,6.13
2016,December,2,8,5.63
2016,December,2,9,5.89
2016,December,2,10,6.69
2016,December,2,11,6.63
2016,December,2,12,7.13
2016,December,2,13,7.62
2016,December,2,14,7.52
2016,December,2,15,7.25
2016,December,2,16,6.45
2016,December,2,17,6.3
2016,December,2,18,5.37
2016,December,2,19,4.71
2016,December,2,20,4.2
2016,December,2,21,4.83
2016,December,2,22,4.85
2016,December,2,23,5.59
2016,December,3,0,6.1
2016,December,3,1,6.23
2016,December,3,2,6.21
2016,December,3,3,5.71
2016,December,3,4,5.14
2016,December,3,5,5.06
2016,December,3,6,4.61
2016,December,3,7,4.08
2016,December,3,8,3.06
2016,December,3,9,4.99
2016,December,3,10,6.15
2016,December,3,11,5.82
2016,December,3,12,5.84
2016,December,3,13,5.79
2016,December,3,14,5.61
2016,December,3,15,5.2
2016,December,3,16,4.82
2016,December,3,17,4.34
2016,December,3,18,4.03
2016,December,3,19,4.41
2016,December,3,20,4.12
2016,December,3,21,4.12
2016,December,3,22,4.31
2016,December,3,23,3.23
2016,December,4,0,1.51
2016,December,4,1,1.38
2016,December,4,2,2.01
2016,December,4,3,1.87
2016,December,4,4,3.31
2016,December,4,5,3.07
2016,December,4,6,2.79
2016,December,4,7,3.04
2016,December,4,8,3.38
2016,December,4,9,4.3
2016,December,4,10,5.57
2016,December,4,11,6.4
2016,December,4,12,6.66
2016,December,4,13,6.63
2016,December,4,14,6.57
2016,December,4,15,5.55
2016,December,4,16,4.71
2016,December,4,17,4.63
2016,December,4,18,4.42
2016,December,4,19,4.25
2016,December,4,20,3.98
2016,December,4,21,3.99
2016,December,4,22,3.7
2016,December,4,23,3.58
2016,December,5,0,3.91
2016,December,5,1,3.8
2016,December,5,2,3.43
2016,December,5,3,3.13
2016,December,5,4,3.48
2016,December,5,5,3.37
2016,December,5,6,3.28
2016,December,5,7,3.52
2016,December,5,8,3.35
2016,December,5,9,3.7
2016,December,5,10,4.38
2016,December,5,11,5
2016,December,5,12,5.79
2016,December,5,13,6.02
2016,December,5,14,5.33
2016,December,5,15,4.88
2016,December,5,16,5.16
2016,December,5,17,4.46
2016,December,5,18,4.6
2016,December,5,19,4.45
2016,December,5,20,4.8
2016,December,5,21,5.19
2016,December,5,22,5.06
2016,December,5,23,5.35
2016,December,6,0,5.31
2016,December,6,1,6.14
2016,December,6,2,5.94
2016,December,6,3,3.88
2016,December,6,4,4.88
2016,December,6,5,4.87
2016,December,6,6,5.01
2016,December,6,7,5.28
2016,December,6,8,6.61
2016,December,6,9,7.21
2016,December,6,10,7.48
2016,December,6,11,7.74
2016,December,6,12,8.23
2016,December,6,13,7.93
2016,December,6,14,7.57
2016,December,6,15,7.47
2016,December,6,16,7.68
2016,December,6,17,8.02
2016,December,6,18,7.84
2016,December,6,19,8.55
2016,December,6,20,9.72
2016,December,6,21,10.26
2016,December,6,22,10.84
2016,December,6,23,10.42
2016,December,7,0,10.36
2016,December,7,1,10.3
2016,December,7,2,10.36
2016,December,7,3,10.51
2016,December,7,4,10.48
2016,December,7,5,10.95
2016,December,7,6,10.82
2016,December,7,7,10.94
2016,December,7,8,11.34
2016,December,7,9,11.62
2016,December,7,10,11.42
2016,December,7,11,12.14
2016,December,7,12,12.57
2016,December,7,13,13.04
2016,December,7,14,13.17
2016,December,7,15,13.62
2016,December,7,16,13.8
2016,December,7,17,13.66
2016,December,7,18,13.13
2016,December,7,19,12.44
2016,December,7,20,12.11
2016,December,7,21,11.74
2016,December,7,22,11.59
2016,December,7,23,11.71
2016,December,8,0,11.45
2016,December,8,1,11.14
2016,December,8,2,11.12
2016,December,8,3,10.98
2016,December,8,4,10.89
2016,December,8,5,10.79
2016,December,8,6,11.45
2016,December,8,7,11.68
2016,December,8,8,11.67
2016,December,8,9,11.62
2016,December,8,10,11.76
2016,December,8,11,11.95
2016,December,8,12,11.08
2016,December,8,13,10.85
2016,December,8,14,10.07
2016,December,8,15,9.68
2016,December,8,16,9.38
2016,December,8,17,9.12
2016,December,8,18,8.76
2016,December,8,19,7.82
2016,December,8,20,7.59
2016,December,8,21,7.51
2016,December,8,22,7.67
2016,December,8,23,8.18
2016,December,9,0,9.29
2016,December,9,1,9.46
2016,December,9,2,10.24
2016,December,9,3,10.9
2016,December,9,4,11.33
2016,December,9,5,11.53
2016,December,9,6,11.67
2016,December,9,7,11.91
2016,December,9,8,12.04
2016,December,9,9,11.9
2016,December,9,10,12.02
2016,December,9,11,11.73
2016,December,9,12,11.28
2016,December,9,13,11.03
2016,December,9,14,11.07
2016,December,9,15,11.14
2016,December,9,16,11.12
2016,December,9,17,11.1
2016,December,9,18,10.86
2016,December,9,19,10.07
2016,December,9,20,9.66
2016,December,9,21,9.53
2016,December,9,22,9.59
2016,December,9,23,9.72
2016,December,10,0,10
2016,December,10,1,10.05
2016,December,10,2,9.89
2016,December,10,3,9.8
2016,December,10,4,9.5
2016,December,10,5,9.46
2016,December,10,6,8.88
2016,December,10,7,8.75
2016,December,10,8,8.86
2016,December,10,9,8.61
2016,December,10,10,8.87
2016,December,10,11,8.92
2016,December,10,12,9.3
2016,December,10,13,9.27
2016,December,10,14,9.1
2016,December,10,15,9.1
2016,December,10,16,8.87
2016,December,10,17,8.66
2016,December,10,18,8.43
2016,December,10,19,8.33
2016,December,10,20,8.01
2016,December,10,21,7.77
2016,December,10,22,7.68
2016,December,10,23,7.46
2016,December,11,0,7.64
2016,December,11,1,7.81
2016,December,11,2,7.72
2016,December,11,3,7.53
2016,December,11,4,7.47
2016,December,11,5,7.74
2016,December,11,6,7.68
2016,December,11,7,8.02
2016,December,11,8,8.12
2016,December,11,9,8.02
2016,December,11,10,8.24
2016,December,11,11,8.31
2016,December,11,12,8.45
2016,December,11,13,8.44
2016,December,11,14,8.37
2016,December,11,15,8.19
2016,December,11,16,8.13
2016,December,11,17,7.97
2016,December,11,18,8.08
2016,December,11,19,7.93
2016,December,11,20,7.91
2016,December,11,21,7.82
2016,December,11,22,7.95
2016,December,11,23,7.62
2016,December,12,0,6.49
2016,December,12,1,5.84
2016,December,12,2,5.68
2016,December,12,3,5.63
2016,December,12,4,5.94
2016,December,12,5,5.12
2016,December,12,6,4.59
2016,December,12,7,4.96
2016,December,12,8,6.11
2016,December,12,9,6.85
