id,node_id,network_collection,network_domain,subnet_description,subnet_collection,node_description,node_collection,input_description,input_collection,data_unit,storage_method,storage_duration,meter_constants
1,05012DFC1300,Com 1,Net_01,ISS Building,100,ISS Building Logger 98,2,ServicesDB/E/S4B,1,kWh,Minutely,30,1
2,05012DFC1300,Com 1,Net_01,ISS Building,100,ISS Building Logger 98,2,Reg Net DB/E/S3B,2,kWh,Minutely,30,1
3,05012DFC1300,Com 1,Net_01,ISS Building,100,ISS Building Logger 98,2,RegCamCoLoDBES1B,3,kWh,Minutely,30,1
4,05012DFC1300,Com 1,Net_01,ISS Building,100,ISS Building Logger 98,2,Camp Net DBES2B,4,kWh,Minutely,30,1
5,05012DFC1300,Com 1,Net_01,ISS Building,100,ISS Building Logger 98,2,Build Com BDES5B,5,kWh,Minutely,30,1
6,05012DFC1300,Com 1,Net_01,ISS Building,100,ISS Building Logger 98,2,Cam Serv DBES4A ,6,kWh,Minutely,30,1
7,05012DFC1300,Com 1,Net_01,ISS Building,100,ISS Building Logger 98,2,Reg Net DB/E/S3A,7,kWh,Minutely,30,1
8,05012DFC1300,Com 1,Net_01,ISS Building,100,ISS Building Logger 98,2,RegCamCoLoDBES1A,8,kWh,Minutely,30,1
9,050137C72900,Com 1,Net_01,Chaplaincy Centre,15,Meters,1,Main Elect Meter,1,kWh,Minutely,30,1
10,050137C72900,Com 1,Net_01,Chaplaincy Centre,15,Meters,1,Kitchen Electric,2,kWh,Minutely,30,1
11,050137C72900,Com 1,Net_01,Chaplaincy Centre,15,Meters,1,Main Water Meter,3,m3,Minutely,30,1
12,050137C72900,Com 1,Net_01,Chaplaincy Centre,15,Meters,1,Kitchen Water,4,m3,Minutely,30,1
13,050137C72900,Com 1,Net_01,Chaplaincy Centre,15,Meters,1,Heat Meter,5,kWh,Minutely,30,1
14,050137C72900,Com 1,Net_01,Chaplaincy Centre,15,Meters,1,Immersion Heater,6,kWh,Minutely,30,1
15,050137C89C00,Com 1,Net_01,Bowland Hall House 2 4,4,Meters,1,Electric Meter,1,kWh,Minutely,30,1
16,050137C89C00,Com 1,Net_01,Bowland Hall House 2 4,4,Meters,1,Water Meter,2,m3,Minutely,30,1
17,050137CA2600,Com 1,Net_01,IENS Phase 2 Basement Plt Rm,91,Logger 91 - Meters,1,NERC 1 Water,1,m3,Minutely,30,1
18,050137CA2600,Com 1,Net_01,IENS Phase 2 Basement Plt Rm,91,Logger 91 - Meters,1,heat Meter,2,kWh,Minutely,30,1
19,050137CA2600,Com 1,Net_01,IENS Phase 2 Basement Plt Rm,91,Logger 91 - Meters,1,gas meter,3,kWh,Minutely,30,1
20,050137CA2600,Com 1,Net_01,IENS Phase 2 Basement Plt Rm,91,Logger 91 - Meters,1,Lec 3 water,4,m3,Minutely,30,1
21,050137CA2600,Com 1,Net_01,IENS Phase 2 Basement Plt Rm,91,Logger 91 - Meters,1,Phase 2 electric,5,kWh,Minutely,30,1
22,050137CA2600,Com 1,Net_01,IENS Phase 2 Basement Plt Rm,91,Logger 91 - Meters,1,ph2 no.2 imm,6,kWh,Minutely,30,1
23,050137CA2600,Com 1,Net_01,IENS Phase 2 Basement Plt Rm,91,Logger 91 - Meters,1,ph 2 animal rms,7,kWh,Minutely,30,1
24,050137F53200,Com 1,Net_01,ISS Building,100,ISS building Logger 99,3,Camp Net DBES2A,1,kWh,Minutely,30,1
25,050137F53200,Com 1,Net_01,ISS Building,100,ISS building Logger 99,3,Build Com DBES5A,2,kWh,Minutely,30,1
26,050137F53200,Com 1,Net_01,ISS Building,100,ISS building Logger 99,3,Inc No2 ESS Sw,3,kWh,Minutely,30,1
27,050137F53200,Com 1,Net_01,ISS Building,100,ISS building Logger 99,3,Inc No1 ESS Sw,4,kWh,Minutely,30,1
28,050137F53200,Com 1,Net_01,ISS Building,100,ISS building Logger 99,3,LV2 ESS Main M,5,kWh,Minutely,30,1
29,050137F53200,Com 1,Net_01,ISS Building,100,ISS building Logger 99,3,Ess Mech Control,6,kWh,Minutely,30,1
30,050137F53200,Com 1,Net_01,ISS Building,100,ISS building Logger 99,3,DB/E/M1,7,kWh,Minutely,30,1
31,050137F53200,Com 1,Net_01,ISS Building,100,ISS building Logger 99,3,CB/E/M2,8,kWh,Minutely,30,1
32,050157909800,Com 1,Net_01,Infolab - 21,7,Meters,1,Plant Room Gas,1,m3,Minutely,30,1
33,050157909800,Com 1,Net_01,Infolab - 21,7,Meters,1,Electric Meter,3,kWh,Minutely,30,1
34,050157909800,Com 1,Net_01,Infolab - 21,7,Meters,1,Water Meter,4,m3,Minutely,30,100
35,050157909800,Com 1,Net_01,Infolab - 21,7,Meters,1,Chiller No 1,5,kWh,Minutely,30,1
36,050157909800,Com 1,Net_01,Infolab - 21,7,Meters,1,Chiller No 2,6,kWh,Minutely,30,1
37,05015794BC00,Com 1,Net_01,Conference Centre Switch Room,11,Meters,1,Electric Meter,1,kWh,Minutely,30,1
38,05015794BC00,Com 1,Net_01,Conference Centre Switch Room,11,Meters,1,Gas,2,m3,Minutely,30,1
39,050157A6F100,Com 1,Net_01,Sub Station 6,64,Meters,1,Transformer 1,1,kWh,Minutely,30,1
40,050157A6F100,Com 1,Net_01,Sub Station 6,64,Meters,1,Transformer 2,2,kWh,Minutely,30,1
41,050157A77B00,Com 1,Net_01,Great Hall A32,39,Great Hall Plant 56,2,Water,1,m3,Minutely,30,1
42,050157A77B00,Com 1,Net_01,Great Hall A32,39,Great Hall Plant 56,2,Heat meter,2,kWh,Minutely,30,1
43,050157A77B00,Com 1,Net_01,Great Hall A32,39,Great Hall Plant 56,2,Ash House Water,3,m3,Minutely,30,1
44,050157A77B00,Com 1,Net_01,Great Hall A32,39,Great Hall Plant 56,2,Immersion No 1,4,kWh,Minutely,30,1
45,050157A77B00,Com 1,Net_01,Great Hall A32,39,Great Hall Plant 56,2,Immersion No 2,5,kWh,Minutely,30,1
46,050157A79200,Com 1,Net_01,IENS,46,Meters,1,IENS Ph 1 Elect,1,kWh,Minutely,30,1
47,050157A79200,Com 1,Net_01,IENS,46,Meters,1,NERC PH1 Elect,2,kWh,Minutely,30,1
48,050157A79200,Com 1,Net_01,IENS,46,Meters,1,Water,3,m3,Minutely,30,1000
49,050157A79200,Com 1,Net_01,IENS,46,Meters,1,Gas,4,m3,Minutely,30,1
50,050157A79200,Com 1,Net_01,IENS,46,Meters,1,Heat Meter,5,kWh,Minutely,30,1
51,050157A79200,Com 1,Net_01,IENS,46,Meters,1,Immersion No 1,6,kWh,Minutely,30,1
52,050157A79200,Com 1,Net_01,IENS,46,Meters,1,Immersion No 2,7,kWh,Minutely,30,1
53,050157A87E00,Com 1,Net_01,George Fox A65,18,No 5 Sub Station Logger 93,3,Transformer No.1,1,kWh,Minutely,30,1
54,050157A87E00,Com 1,Net_01,George Fox A65,18,No 5 Sub Station Logger 93,3,Transformer No.2,2,kWh,Minutely,30,1
55,050157A87E00,Com 1,Net_01,George Fox A65,18,No 5 Sub Station Logger 93,3,Man School Ph 1,3,kWh,Minutely,30,1
56,050157A87E00,Com 1,Net_01,George Fox A65,18,No 5 Sub Station Logger 93,3,Man School Ext,4,kWh,Minutely,30,1
57,050157A87E00,Com 1,Net_01,George Fox A65,18,No 5 Sub Station Logger 93,3,Grizedale 1 Elec,5,kWh,Minutely,30,1
58,050157A87E00,Com 1,Net_01,George Fox A65,18,No 5 Sub Station Logger 93,3,Pendle College E,6,kWh,Minutely,30,1
59,050157A87E00,Com 1,Net_01,George Fox A65,18,No 5 Sub Station Logger 93,3,Charles Carter E,7,kWh,Minutely,30,1
60,050157A87E00,Com 1,Net_01,George Fox A65,18,No 5 Sub Station Logger 93,3,Grizedale 2 Elec,8,kWh,Minutely,30,1
61,050157AB6700,Com 1,Net_01,Lonsdale Laundrette Plant Room,42,Meters,1,Electric Meter,1,kWh,Minutely,30,1
62,050157AB6700,Com 1,Net_01,Lonsdale Laundrette Plant Room,42,Meters,1,Water Meter,2,kWh,Minutely,30,1000
63,050157AB6700,Com 1,Net_01,Lonsdale Laundrette Plant Room,42,Meters,1,Gas Meter,3,m3,Minutely,30,1
64,050157AB9B00,Com 1,Net_01,No 8 Sub Station LEC 2,37,NERC2 Logger 102,2,Nerc Ph 2 Elect,1,kWh,Minutely,30,1
65,050157AD6E00,Com 1,Net_01,Main Boiler House ,61,Boiler House 2  152,2,CHP Elct Input,1,kWh,Minutely,30,1
66,050157AD6E00,Com 1,Net_01,Main Boiler House ,61,Boiler House 2  152,2,CHP Output Gen,2,kWh,Minutely,30,1
