"","x"
"1",13.7304999475256
"2",12.5374700487628
"3",11.8375776859995
"4",11.921441746929
"5",12.5542837401071
"6",13.5560806614971
"7",14.1500010664484
"8",15.3977684431612
"9",16.23087455704
"10",15.2658602833767
"11",14.7303421630467
"12",14.2770112137151
"13",14.2864109396595
"14",14.5226803933771
"15",14.7956581359159
"16",14.8483717115502
"17",15.3440322074354
"18",15.2851382192884
"19",14.9117785233247
"20",14.2302953298153
"21",13.2147450373907
"22",13.3357188857685
"23",12.8891296180567
"24",14.0862218003185
