Logger Asset Code,Asset Code,Description,Make,Model,Meter Units,Meter Pulse Value,Classification Group,Logger Channel,Utility Type,??,Meter Type,Building Code,Building Name,Space,Additional Location Info,Tenant meter,Fiscal meter,Parent meter,Child meters,Communications type,Electrical panel ID
{6BF82177-CB8B-4774-9B9C-0008202C0CE8},MC055-B01/C1,Virtual CNC 1,,,,,Energy sensor,C1,,,,MC055,Furness Residences,,,0,0,,,,
{6BF82177-CB8B-4774-9B9C-0008202C0CE8},MC055-B01/D1,Heating Pumps 1 &amp; 2,,,,,Energy sensor,D1,,,,MC055,Furness Residences,,,0,0,,,,
{6BF82177-CB8B-4774-9B9C-0008202C0CE8},MC055-B01/D2,HWS Pumps,,,,,Energy sensor,D2,,,,MC055,Furness Residences,,,0,0,,,,
{6BF82177-CB8B-4774-9B9C-0008202C0CE8},MC055-B01/D3,Immersion 1,,,,,Energy sensor,D3,,,,MC055,Furness Residences,,,0,0,,,,
{6BF82177-CB8B-4774-9B9C-0008202C0CE8},MC055-B01/D4,Immersion 2,,,,,Energy sensor,D4,,,,MC055,Furness Residences,,,0,0,,,,
{6BF82177-CB8B-4774-9B9C-0008202C0CE8},MC055-B01/D5,Driver 5,,,,,Energy sensor,D5,,,,MC055,Furness Residences,,,0,0,,,,
{6BF82177-CB8B-4774-9B9C-0008202C0CE8},MC055-B01/e2,Supervisor,,,,,Energy sensor,e2,,,,MC055,Furness Residences,,,0,0,,,,
{6BF82177-CB8B-4774-9B9C-0008202C0CE8},MC055-B01/F1,Function 1,,,,,Energy sensor,F1,,,,MC055,Furness Residences,,,0,0,,,,
{6BF82177-CB8B-4774-9B9C-0008202C0CE8},MC055-B01/F10,Function 10,,,,,Energy sensor,F10,,,,MC055,Furness Residences,,,0,0,,,,
{6BF82177-CB8B-4774-9B9C-0008202C0CE8},MC055-B01/F13,Function 13,,,,,Energy sensor,F13,,,,MC055,Furness Residences,,,0,0,,,,
{6BF82177-CB8B-4774-9B9C-0008202C0CE8},MC055-B01/F14,Function 14,,,,,Energy sensor,F14,,,,MC055,Furness Residences,,,0,0,,,,
{6BF82177-CB8B-4774-9B9C-0008202C0CE8},MC055-B01/F15,Function 15,,,,,Energy sensor,F15,,,,MC055,Furness Residences,,,0,0,,,,
{6BF82177-CB8B-4774-9B9C-0008202C0CE8},MC055-B01/F16,Space Frost SP,,,,,Energy sensor,F16,,,,MC055,Furness Residences,,,0,0,,,,
{6BF82177-CB8B-4774-9B9C-0008202C0CE8},MC055-B01/F17, Space Frost,,,,,Energy sensor,F17,,,,MC055,Furness Residences,,,0,0,,,,
{6BF82177-CB8B-4774-9B9C-0008202C0CE8},MC055-B01/F18,Function 18,,,,,Energy sensor,F18,,,,MC055,Furness Residences,,,0,0,,,,
{6BF82177-CB8B-4774-9B9C-0008202C0CE8},MC055-B01/F19,Boiler Demand Stage 1,,,,,Energy sensor,F19,,,,MC055,Furness Residences,,,0,0,,,,
{6BF82177-CB8B-4774-9B9C-0008202C0CE8},MC055-B01/F2,Function 2,,,,,Energy sensor,F2,,,,MC055,Furness Residences,,,0,0,,,,
{6BF82177-CB8B-4774-9B9C-0008202C0CE8},MC055-B01/F20,Boiler Demand Stage 2,,,,,Energy sensor,F20,,,,MC055,Furness Residences,,,0,0,,,,
{6BF82177-CB8B-4774-9B9C-0008202C0CE8},MC055-B01/F21,Boiler Demand Stage 3,,,,,Energy sensor,F21,,,,MC055,Furness Residences,,,0,0,,,,
{6BF82177-CB8B-4774-9B9C-0008202C0CE8},MC055-B01/F22,Boiler Demand 10-33%,,,,,Energy sensor,F22,,,,MC055,Furness Residences,,,0,0,,,,
{6BF82177-CB8B-4774-9B9C-0008202C0CE8},MC055-B01/F23,Boiler Demand 33-66%,,,,,Energy sensor,F23,,,,MC055,Furness Residences,,,0,0,,,,
{6BF82177-CB8B-4774-9B9C-0008202C0CE8},MC055-B01/F24,Boiler Demand 66%+,,,,,Energy sensor,F24,,,,MC055,Furness Residences,,,0,0,,,,
{6BF82177-CB8B-4774-9B9C-0008202C0CE8},MC055-B01/F25,Function 25,,,,,Energy sensor,F25,,,,MC055,Furness Residences,,,0,0,,,,
{6BF82177-CB8B-4774-9B9C-0008202C0CE8},MC055-B01/F3,Function 3,,,,,Energy sensor,F3,,,,MC055,Furness Residences,,,0,0,,,,
{6BF82177-CB8B-4774-9B9C-0008202C0CE8},MC055-B01/F4,Function 4,,,,,Energy sensor,F4,,,,MC055,Furness Residences,,,0,0,,,,
{6BF82177-CB8B-4774-9B9C-0008202C0CE8},MC055-B01/F5,Outside air temperature heating inhibit,,,,,Energy sensor,F5,,,,MC055,Furness Residences,,,0,0,,,,
