,ts,elec_consumption,heat_consumption,OAT,air_temp,concrete_temp,temp,is_weekend,is_term_day,INS
0,12/5/2016 9:00,76,320,3.19,3.9,3.35,3.7,0,1,22.624
1,12/5/2016 10:00,85,278,3.92,4.58,4.4,4.38,0,1,22.145
2,12/5/2016 11:00,96,275,5.4,5.15,6.03,5,0,1,22.616
3,12/5/2016 12:00,101,265,7.59,5.9,7.35,5.79,0,1,23.061
4,12/5/2016 13:00,101,257,8.41,6.09,6.92,6.02,0,1,22.151
5,12/5/2016 14:00,102,248,6.72,5.37,5.49,5.33,0,1,21.954
6,12/5/2016 15:00,105,254,5.84,5.06,3.71,4.88,0,1,21.959
7,12/5/2016 16:00,106,266,5.36,5.33,3.89,5.16,0,1,21.871
8,12/5/2016 17:00,104,257,4.62,4.63,3.4,4.46,0,1,21.207
9,12/5/2016 18:00,91,260,4.62,4.81,3.29,4.6,0,1,21.575
10,12/5/2016 19:00,78,255,4.76,4.66,3.09,4.45,0,1,21.832
11,12/6/2016 9:00,82,308,6.49,7.43,6.33,7.21,0,1,21.676
12,12/6/2016 10:00,100,284,8.36,7.65,6.9,7.48,0,1,22.38
13,12/6/2016 11:00,105,251,9.21,7.92,7.87,7.74,0,1,23.464
14,12/6/2016 12:00,105,255,9.57,8.38,8.66,8.23,0,1,23.398
15,12/6/2016 13:00,111,263,8.57,8.05,8.16,7.93,0,1,23.824
16,12/6/2016 14:00,109,251,8.58,7.72,7.62,7.57,0,1,23.621
17,12/6/2016 15:00,105,254,7.81,7.63,7.18,7.47,0,1,23.048
18,12/6/2016 16:00,114,260,7.53,7.88,7.11,7.68,0,1,24.18
19,12/6/2016 17:00,106,255,7.67,8.19,6.91,8.02,0,1,23.744
20,12/6/2016 18:00,98,239,8.43,8.03,6.64,7.84,0,1,23.319
21,12/6/2016 19:00,87,240,8.84,8.79,7.14,8.55,0,1,23.796
22,12/6/2016 20:00,75,237,9.29,9.93,7.82,9.72,0,1,23.987
23,12/6/2016 21:00,68,239,9.61,10.47,8.4,10.26,0,1,24.1
24,12/6/2016 22:00,58,228,9.34,10.99,8.78,10.84,0,1,24.137
25,12/6/2016 23:00,45,200,9,10.55,8.62,10.42,0,1,23.61
26,12/7/2016 0:00,27,2,8.82,10.52,8.61,10.36,0,1,22.6
27,12/7/2016 1:00,26,6,8.79,10.46,8.53,10.3,0,1,21.924
28,12/7/2016 2:00,26,8,8.82,10.53,8.44,10.36,0,1,21.438
29,12/7/2016 3:00,24,11,8.82,10.69,8.47,10.51,0,1,21.118
30,12/7/2016 4:00,25,11,8.72,10.69,8.35,10.48,0,1,20.857
31,12/7/2016 5:00,26,12,8.83,11.12,9.1,10.95,0,1,20.7
32,12/7/2016 6:00,31,79,8.93,11.01,9.32,10.82,0,1,21.269
33,12/7/2016 7:00,42,341,9.05,11.12,10,10.94,0,1,22.045
34,12/7/2016 8:00,61,335,9.29,11.54,10.44,11.34,0,1,22.416
35,12/7/2016 9:00,78,278,10.45,11.75,10.81,11.62,0,1,22.803
36,12/7/2016 10:00,90,237,11.21,11.62,10.48,11.42,0,1,23.293
37,12/7/2016 11:00,97,228,11.85,12.34,10.99,12.14,0,1,23.796
38,12/7/2016 12:00,100,215,12.03,12.8,11.84,12.57,0,1,23.71
39,12/7/2016 13:00,102,220,12.06,13.27,13.35,13.04,0,1,23.742
40,12/7/2016 14:00,106,219,12.47,13.43,12.53,13.17,0,1,23.855
41,12/7/2016 15:00,100,217,12.05,13.87,12.71,13.62,0,1,24.603
42,12/7/2016 16:00,100,213,11.59,14.05,12.77,13.8,0,1,24.585
43,12/7/2016 17:00,93,216,11.56,13.88,12.36,13.66,0,1,24.161
44,12/7/2016 18:00,85,214,11.32,13.34,11.65,13.13,0,1,23.719
45,12/7/2016 19:00,82,214,10.93,12.68,11.51,12.44,0,1,23.684
46,12/7/2016 20:00,67,211,10.47,12.32,11.43,12.11,0,1,23.51
47,12/7/2016 21:00,57,214,10.21,11.98,11.37,11.74,0,1,23.398
48,12/7/2016 22:00,54,214,10.15,11.81,11.31,11.59,0,1,23.604
49,12/7/2016 23:00,43,181,10.2,11.89,11.33,11.71,0,1,23.413
50,12/8/2016 0:00,28,1,10.1,11.64,11.17,11.45,0,1,22.208
51,12/8/2016 1:00,27,3,9.93,11.32,10.93,11.14,0,1,21.511
52,12/8/2016 2:00,25,5,9.93,11.3,10.89,11.12,0,1,21.078
53,12/8/2016 3:00,26,6,9.93,11.17,10.78,10.98,0,1,20.838
54,12/8/2016 4:00,25,7,10.28,11.06,10.61,10.89,0,1,20.738
55,12/8/2016 5:00,26,8,10.3,10.96,10.49,10.79,0,1,20.812
56,12/8/2016 6:00,33,82,10.43,11.68,10.82,11.45,0,1,21.553
57,12/8/2016 7:00,41,349,10.67,11.89,11.11,11.68,0,1,22.522
58,12/10/2016 7:00,43,381,8.38,8.93,8.72,8.75,1,1,19.08
59,12/10/2016 8:00,44,225,8.64,9.02,8.74,8.86,1,1,19.088
60,12/10/2016 9:00,45,183,8.84,8.77,8.55,8.61,1,1,19.648
61,12/10/2016 10:00,51,185,8.94,9,9.07,8.87,1,1,19.679
62,12/10/2016 11:00,51,179,9.17,9.05,9.72,8.92,1,1,19.794
63,12/10/2016 12:00,51,181,9.27,9.43,9.79,9.3,1,1,19.844
64,12/10/2016 13:00,48,183,9.17,9.4,9.69,9.27,1,1,19.901
65,12/10/2016 14:00,49,180,9.39,9.25,9.28,9.1,1,1,20.302
66,12/10/2016 15:00,51,179,9.3,9.2,8.86,9.1,1,1,20.795
67,12/10/2016 16:00,53,177,9.35,9.05,8.6,8.87,1,1,21.228
68,12/10/2016 17:00,55,185,9.25,8.85,8.51,8.66,1,1,21.725
69,12/10/2016 18:00,54,181,8.86,8.6,8.39,8.43,1,1,21.42
70,12/10/2016 19:00,56,180,8.18,8.44,8.06,8.33,1,1,21.177
71,12/10/2016 20:00,55,184,8.13,8.14,7.31,8.01,1,1,21.426
72,12/10/2016 21:00,56,185,8.24,7.97,6.86,7.77,1,1,21.49
73,12/10/2016 22:00,54,184,8.23,7.88,6.56,7.68,1,1,21.845
74,12/10/2016 23:00,52,158,8.02,7.65,6.19,7.46,1,1,22.033
75,12/11/2016 0:00,37,1,7.66,7.85,6.16,7.64,1,1,22.037
76,12/11/2016 1:00,35,3,7.68,8.03,6.78,7.81,1,1,21.935
77,12/11/2016 2:00,36,4,7.41,7.89,6.54,7.72,1,1,21.556
78,12/11/2016 3:00,33,6,7.08,7.73,6.23,7.53,1,1,20.859
79,12/11/2016 4:00,33,7,6.8,7.67,6.46,7.47,1,1,20.566
80,12/11/2016 5:00,33,9,6.9,7.92,6.55,7.74,1,1,20.204
81,12/11/2016 6:00,37,80,7.04,7.9,6.46,7.68,1,1,20.246
82,12/11/2016 7:00,47,386,7.64,8.22,6.9,8.02,1,1,20.599
83,12/11/2016 8:00,50,251,7.73,8.29,7.11,8.12,1,1,20.599
84,12/11/2016 9:00,47,198,7.4,8.2,7.42,8.02,1,1,19.817
85,12/11/2016 10:00,46,205,7.64,8.41,7.87,8.24,1,1,19.358
86,12/11/2016 11:00,48,196,7.67,8.47,8.24,8.31,1,1,18.958
87,12/11/2016 12:00,49,193,8.02,8.59,8.66,8.45,1,1,18.939
88,12/11/2016 13:00,47,196,8.25,8.61,9,8.44,1,1,18.84
89,12/11/2016 14:00,47,192,8.29,8.54,8.63,8.37,1,1,18.74
90,12/11/2016 15:00,48,191,8.4,8.36,8.13,8.19,1,1,18.538
91,12/11/2016 16:00,53,188,8.42,8.29,7.93,8.13,1,1,18.603
92,12/11/2016 17:00,55,189,8.18,8.15,7.72,7.97,1,1,18.49
93,12/11/2016 18:00,54,191,8.33,8.27,7.87,8.08,1,1,18.559
94,12/11/2016 19:00,54,191,8.51,8.12,7.73,7.93,1,1,18.604
95,12/11/2016 20:00,50,189,8.65,8.09,7.75,7.91,1,1,18.562
96,12/11/2016 21:00,50,186,8.69,8.02,7.71,7.82,1,1,18.627
97,12/11/2016 22:00,48,188,8.69,8.13,7.82,7.95,1,1,18.642
98,12/11/2016 23:00,45,159,8.62,7.77,7.64,7.62,1,1,18.665
99,12/12/2016 0:00,35,1,8.17,6.56,5.97,6.49,0,1,18.374
100,12/12/2016 1:00,30,3,7.36,5.96,4.99,5.84,0,1,18.095
101,12/12/2016 2:00,30,6,6.93,5.9,4.5,5.68,0,1,17.888
102,12/12/2016 3:00,30,7,6.74,5.84,4.28,5.63,0,1,17.719
103,12/12/2016 4:00,29,8,6.55,6.14,4.35,5.94,0,1,17.563
104,12/12/2016 5:00,30,7,6.41,5.34,3.73,5.12,0,1,17.429
105,12/12/2016 6:00,35,73,5.84,4.79,3.61,4.59,0,1,17.682
106,12/12/2016 7:00,46,332,5.65,5.24,3.93,4.96,0,1,17.831
107,12/12/2016 8:00,62,312,6.52,6.36,4.75,6.11,0,1,18.333
108,12/12/2016 9:00,76,249,8.22,7.07,6.25,6.85,0,1,19.164
109,12/12/2016 10:00,89,234,9.45,7.32,6.94,7.13,0,1,20.432
110,12/12/2016 11:00,101,229,10.31,7.77,6.93,7.56,0,1,21.032
111,12/12/2016 12:00,100,223,10.69,8.22,7.99,8.05,0,1,20.186
112,12/12/2016 13:00,100,219,10.56,8.18,8.06,8.05,0,1,19.618
113,12/12/2016 14:00,105,216,9.64,8.11,7.73,7.94,0,1,19.314
114,12/12/2016 15:00,108,218,10.18,8.35,7.71,8.17,0,1,19.22
115,12/12/2016 16:00,112,218,10.1,8.38,7.57,8.23,0,1,19.234
116,12/12/2016 17:00,107,214,9.04,7.97,7.48,7.83,0,1,21.013
117,12/12/2016 18:00,92,200,8.73,7.97,7.4,7.78,0,1,20.741
118,12/12/2016 19:00,76,194,8.45,7.76,7.27,7.54,0,1,20.042
119,12/12/2016 20:00,67,194,8.27,7.48,7.23,7.24,0,1,19.621
120,12/12/2016 21:00,62,206,8.2,7.68,7.37,7.45,0,1,19.448
121,12/12/2016 22:00,56,204,8.3,8.38,7.72,8.16,0,1,19.282
122,12/12/2016 23:00,50,169,8.58,8.74,7.97,8.54,0,1,19.133
123,12/13/2016 0:00,37,1,8.72,8.73,8.08,8.54,0,1,18.998
124,12/13/2016 1:00,31,4,8.66,8.64,8.1,8.48,0,1,18.909
125,12/13/2016 2:00,30,8,8.59,8.74,8.08,8.6,0,1,18.808
126,12/13/2016 3:00,29,7,8.76,8.71,8.09,8.6,0,1,18.721
127,12/13/2016 4:00,30,9,8.51,8.53,7.98,8.41,0,1,18.657
128,12/13/2016 5:00,28,10,8.44,8.84,7.97,8.66,0,1,18.598
129,12/13/2016 6:00,36,80,8.38,8.42,7.72,8.22,0,1,18.687
130,12/13/2016 7:00,47,327,8.33,8.59,7.98,8.41,0,1,19.026
131,12/13/2016 8:00,64,314,8.55,8.85,8.18,8.68,0,1,19.308
132,12/13/2016 9:00,79,228,8.53,9.07,8.29,8.88,0,1,20.032
133,12/13/2016 10:00,93,211,8.36,9.17,8.89,8.98,0,1,20.784
