,timestamp,id,metadata_id,consumption,meter_reading
62918,2017-04-02 17:00:00,3,102,19,5661238
62947,2017-04-02 19:00:00,7,102,18,5661316
63071,2017-04-02 16:30:00,2,102,19,5661219
63100,2017-04-02 18:30:00,6,102,20,5661296
63238,2017-04-02 17:30:00,4,102,19,5661257
63265,2017-04-02 19:30:00,8,102,20,5661334
63283,2017-04-02 20:30:00,10,102,20,5661373
63308,2017-04-02 22:30:00,14,102,20,5661451
63335,2017-04-03 00:30:00,18,102,13,5661514
63366,2017-04-03 02:30:00,22,102,13,5661567
63391,2017-04-03 04:30:00,26,102,13,5661620
63414,2017-04-03 06:30:00,30,102,23,5661692
63447,2017-04-02 21:30:00,12,102,19,5661414
63472,2017-04-02 23:30:00,16,102,14,5661486
63501,2017-04-03 01:30:00,20,102,13,5661541
63530,2017-04-03 03:30:00,24,102,14,5661593
63553,2017-04-03 05:30:00,28,102,19,5661649
63576,2017-04-03 07:30:00,32,102,27,5661739
63594,2017-04-03 08:30:00,34,102,30,5661794
63617,2017-04-03 10:30:00,38,102,32,5661920
63640,2017-04-03 12:30:00,42,102,31,5662049
63664,2017-04-03 14:30:00,46,102,30,5662176
63688,2017-04-03 16:30:00,50,102,28,5662297
63712,2017-04-03 18:30:00,54,102,22,5662402
63736,2017-04-03 20:30:00,58,102,19,5662488
63756,2017-04-03 09:30:00,36,102,35,5661854
63779,2017-04-03 11:30:00,40,102,33,5661985
63802,2017-04-03 13:30:00,44,102,34,5662110
63826,2017-04-03 15:30:00,48,102,31,5662237
63850,2017-04-03 17:30:00,52,102,25,5662354
63874,2017-04-03 19:30:00,56,102,20,5662448
63898,2017-04-03 21:30:00,60,102,20,5662527
64006,2017-04-02 16:00:00,1,102,20,5661199
64035,2017-04-02 18:00:00,5,102,20,5661276
64071,2017-04-02 21:00:00,11,102,21,5661393
64096,2017-04-02 23:00:00,15,102,15,5661471
64124,2017-04-03 01:00:00,19,102,14,5661527
64154,2017-04-03 03:00:00,23,102,13,5661580
64177,2017-04-03 05:00:00,27,102,16,5661633
64200,2017-04-03 07:00:00,31,102,24,5661715
64231,2017-04-03 22:30:00,62,102,21,5662566
64255,2017-04-04 00:30:00,66,102,12,5662629
64279,2017-04-04 02:30:00,70,102,13,5662679
64303,2017-04-04 04:30:00,74,102,12,5662729
64327,2017-04-04 06:30:00,78,102,22,5662800
64351,2017-04-04 08:30:00,82,102,32,5662899
64393,2017-04-03 23:30:00,64,102,15,5662601
64417,2017-04-04 01:30:00,68,102,13,5662654
64441,2017-04-04 03:30:00,72,102,12,5662705
64465,2017-04-04 05:30:00,76,102,20,5662757
64489,2017-04-04 07:30:00,80,102,25,5662846
64513,2017-04-04 09:30:00,84,102,33,5662965
64532,2017-04-04 10:30:00,86,102,33,5663031
64549,2017-04-04 12:30:00,90,102,34,5663172
64564,2017-04-04 14:30:00,94,102,32,5663309
64578,2017-04-04 16:30:00,98,102,30,5663436
64592,2017-04-04 18:30:00,102,102,23,5663548
64606,2017-04-04 20:30:00,106,102,21,5663636
64620,2017-04-04 22:30:00,110,102,19,5663717
64634,2017-04-05 00:30:00,114,102,13,5663780
64648,2017-04-05 02:30:00,118,102,13,5663833
64662,2017-04-05 04:30:00,122,102,15,5663886
64690,2017-04-04 11:30:00,88,102,36,5663099
64705,2017-04-04 13:30:00,92,102,35,5663239
64719,2017-04-04 15:30:00,96,102,33,5663372
64733,2017-04-04 17:30:00,100,102,27,5663497
64747,2017-04-04 19:30:00,104,102,22,5663592
64761,2017-04-04 21:30:00,108,102,19,5663679
64775,2017-04-04 23:30:00,112,102,15,5663751
64789,2017-04-05 01:30:00,116,102,13,5663806
64803,2017-04-05 03:30:00,120,102,13,5663860
64817,2017-04-05 05:30:00,124,102,18,5663916
65479,2017-04-03 09:00:00,35,102,30,5661824
65502,2017-04-03 11:00:00,39,102,33,5661952
65525,2017-04-03 13:00:00,43,102,30,5662080
65549,2017-04-03 15:00:00,47,102,31,5662206
65573,2017-04-03 17:00:00,51,102,29,5662325
65597,2017-04-03 19:00:00,55,102,24,5662424
65621,2017-04-03 21:00:00,59,102,20,5662507
65631,2017-04-02 20:00:00,9,102,19,5661354
65656,2017-04-02 22:00:00,13,102,18,5661433
65682,2017-04-03 00:00:00,17,102,14,5661500
65712,2017-04-03 02:00:00,21,102,13,5661554
65739,2017-04-03 04:00:00,25,102,13,5661607
65762,2017-04-03 06:00:00,29,102,24,5661668
65802,2017-04-03 23:00:00,63,102,14,5662587
65826,2017-04-04 01:00:00,67,102,13,5662641
65850,2017-04-04 03:00:00,71,102,13,5662692
65874,2017-04-04 05:00:00,75,102,16,5662741
65898,2017-04-04 07:00:00,79,102,24,5662822
65922,2017-04-04 09:00:00,83,102,34,5662931
65942,2017-04-03 08:00:00,33,102,28,5661766
65965,2017-04-03 10:00:00,37,102,31,5661889
65988,2017-04-03 12:00:00,41,102,31,5662018
66011,2017-04-03 14:00:00,45,102,32,5662144
66035,2017-04-03 16:00:00,49,102,29,5662268
66059,2017-04-03 18:00:00,53,102,23,5662379
66083,2017-04-03 20:00:00,57,102,20,5662468
66103,2017-04-04 11:00:00,87,102,35,5663064
66118,2017-04-04 13:00:00,91,102,33,5663206
66133,2017-04-04 15:00:00,95,102,31,5663341
