,param_name,param_type,param_value,timestamp,device_id,module_key
1073,V,1,20.190861,2017-04-02 00:59:00.530000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12
18660,V,1,21.065947,2017-04-05 09:59:00.990000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12
19012,V,1,20.120853,2017-04-02 01:09:00.767000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12
35779,V,1,20.81217,2017-04-01 01:08:59.273000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12
36172,V,1,21.10095,2017-04-03 17:59:01.803000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12
54202,V,1,19.980839,2017-04-02 01:29:00.853000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12
67087,V,1,20.050844,2017-04-02 01:19:01.033000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12
72823,V,1,20.750912,2017-04-01 01:18:59.607000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12
75256,V,1,21.083447,2017-04-03 18:09:00.020000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12
93273,V,1,21.170956,2017-04-05 10:09:01.407000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12
111515,V,1,21.048443,2017-04-03 18:19:00.130000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12
111529,V,1,20.680908,2017-04-01 01:28:59.287000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12
112739,V,1,19.867077,2017-04-02 01:39:01.557000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12
131595,V,1,20.698408,2017-04-05 10:19:02.330000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12
133680,V,1,19.770817,2017-04-02 01:49:01.790000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12
150539,V,1,21.013443,2017-04-03 18:29:00.430000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12
150636,V,1,20.619648,2017-04-01 01:38:59.240000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12
170238,V,1,20.374628,2017-04-05 10:29:01.657000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12
187870,V,1,20.987186,2017-04-03 18:39:00.720000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12
188728,V,1,20.558395,2017-04-01 01:48:59.857000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12
206938,V,1,20.488386,2017-04-01 01:58:59.230000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12
207467,V,1,20.199612,2017-04-05 10:39:01.897000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12
227356,V,1,20.444633,2017-04-01 02:08:59.280000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12
230294,V,1,19.68331,2017-04-02 01:59:00.873000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12
245471,V,1,20.094597,2017-04-05 10:49:04.780000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12
246561,V,1,20.943432,2017-04-03 18:49:00.883000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12
265369,V,1,20.400879,2017-04-01 02:18:59.853000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12
283566,V,1,20.357124,2017-04-01 02:28:59.253000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12
283567,V,1,20.094597,2017-04-05 10:59:02.150000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12
303655,V,1,20.330873,2017-04-01 02:38:59.610000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12
304622,V,1,19.622051,2017-04-02 02:09:00.790000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12
322243,V,1,20.873425,2017-04-03 18:59:00.083000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12
323157,V,1,20.295868,2017-04-01 02:48:59.960000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12
341678,V,1,20.173357,2017-04-05 11:09:01.210000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12
350441,V,1,19.587051,2017-04-02 02:19:01.510000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12
361271,V,1,20.182106,2017-04-05 11:19:02.050000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12
378842,V,1,20.243366,2017-04-01 02:58:59.907000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12
380525,V,1,20.803421,2017-04-03 19:08:59.723000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12
398822,V,1,20.217112,2017-04-01 03:08:59.717000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12
401986,V,1,19.517042,2017-04-02 02:29:04.920000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12
417887,V,1,20.733412,2017-04-03 19:18:59.970000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12
417888,V,1,20.217112,2017-04-05 11:29:01.227000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12
427207,V,1,19.438286,2017-04-02 02:39:00.993000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12
437543,V,1,19.394531,2017-04-02 02:49:01.697000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12
458097,V,1,20.190861,2017-04-01 03:18:59.740000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12
475744,V,1,20.155857,2017-04-01 03:28:59.177000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12
475745,V,1,20.663403,2017-04-03 19:28:59.923000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12
475746,V,1,20.252115,2017-04-05 11:39:01.133000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12
497405,V,1,20.295868,2017-04-05 11:49:02.530000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12
513505,V,1,20.322124,2017-04-05 11:59:01.237000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12
521643,V,1,19.333275,2017-04-02 02:59:01.087000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12
