,param_name,param_type,param_value,timestamp,device_id,module_key
973,V,1,8.118046,2017-04-02 00:59:00.520000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1
9435,V,1,7.391775,2017-04-05 09:59:00.983000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1
18426,V,1,8.100544,2017-04-02 01:09:00.760000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1
36205,V,1,10.288112,2017-04-01 01:08:59.263000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1
48138,V,1,11.154388,2017-04-03 17:59:01.797000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1
53477,V,1,8.021793,2017-04-02 01:29:00.850000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1
56577,V,1,8.083046,2017-04-02 01:19:01.030000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1
74233,V,1,11.093134,2017-04-03 18:09:00.017000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1
78637,V,1,10.19186,2017-04-01 01:18:59.603000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1
104262,V,1,7.444275,2017-04-05 10:09:01.380000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1
111527,V,1,7.960541,2017-04-02 01:39:01.480000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1
112737,V,1,11.031883,2017-04-03 18:19:00.127000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1
113108,V,1,10.113107,2017-04-01 01:28:59.280000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1
131392,V,1,7.943041,2017-04-02 01:49:01.783000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1
133679,V,1,7.426775,2017-04-05 10:19:02.327000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1
149700,V,1,10.996881,2017-04-03 18:29:00.427000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1
153384,V,1,10.043102,2017-04-01 01:38:59.237000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1
175687,V,1,7.488026,2017-04-05 10:29:01.650000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1
188958,V,1,9.990602,2017-04-01 01:48:59.853000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1
190158,V,1,10.926878,2017-04-03 18:39:00.717000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1
207545,V,1,7.54928,2017-04-05 10:39:01.890000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1
212250,V,1,9.973099,2017-04-01 01:58:59.227000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1
227355,V,1,7.916788,2017-04-02 01:59:00.870000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1
230707,V,1,9.938101,2017-04-01 02:08:59.277000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1
245392,V,1,10.926878,2017-04-03 18:49:00.880000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1
251727,V,1,7.645531,2017-04-05 10:49:04.687000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1
271833,V,1,9.850597,2017-04-01 02:18:59.850000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1
286353,V,1,9.806847,2017-04-01 02:28:59.250000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1
286354,V,1,7.671785,2017-04-05 10:59:02.143000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1
303654,V,1,7.864288,2017-04-02 02:09:00.787000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1
307218,V,1,9.771847,2017-04-01 02:38:59.603000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1
323036,V,1,9.771847,2017-04-01 02:48:59.957000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1
328331,V,1,10.874377,2017-04-03 18:59:00.080000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1
343097,V,1,7.794285,2017-04-02 02:19:01.503000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1
350440,V,1,7.715536,2017-04-05 11:09:01.207000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1
361110,V,1,7.733034,2017-04-05 11:19:01.977000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1
379522,V,1,10.804378,2017-04-03 19:08:59.720000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1
387793,V,1,9.771847,2017-04-01 02:58:59.867000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1
399815,V,1,7.785536,2017-04-02 02:29:04.913000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1
401985,V,1,9.736843,2017-04-01 03:08:59.710000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1
427205,V,1,10.778126,2017-04-03 19:18:59.967000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1
427206,V,1,7.785536,2017-04-05 11:29:01.223000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1
437829,V,1,7.768038,2017-04-02 02:39:00.987000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1
439078,V,1,7.724285,2017-04-02 02:49:01.687000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1
462988,V,1,9.701841,2017-04-01 03:18:59.737000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1
476241,V,1,9.710592,2017-04-01 03:28:59.170000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1
476242,V,1,10.716875,2017-04-03 19:28:59.920000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1
476243,V,1,7.829287,2017-04-05 11:39:01.130000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1
507103,V,1,7.864288,2017-04-05 11:49:02.530000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1
513504,V,1,7.689283,2017-04-02 02:59:01.077000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1
515264,V,1,7.925539,2017-04-05 11:59:01.233000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1
540586,V,1,9.675594,2017-04-01 03:38:59.893000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1
540587,V,1,10.70812,2017-04-03 19:38:59.593000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1
552632,V,1,7.663031,2017-04-02 03:09:00.997000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1
553879,V,1,9.658091,2017-04-01 03:49:00.140000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1
578761,V,1,9.596842,2017-04-01 03:58:59.427000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1
591200,V,1,10.66437,2017-04-03 19:49:03.950000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1
602950,V,1,7.986794,2017-04-05 12:09:01.260000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1
609837,V,1,9.579338,2017-04-01 04:08:59.190000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1
611581,V,1,7.610531,2017-04-02 03:19:01.390000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1
627840,V,1,8.126797,2017-04-05 12:19:01.237000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1
629594,V,1,7.531776,2017-04-02 03:29:00.790000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1
636460,V,1,10.629373,2017-04-03 19:59:00.107000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1
660493,V,1,9.570587,2017-04-01 04:18:59.710000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1
668823,V,1,7.566778,2017-04-02 03:39:00.887000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1
685475,V,1,9.579338,2017-04-01 04:28:59.110000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1
685476,V,1,10.611869,2017-04-03 20:09:02.183000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1
