
Varste si grupe de varsta, Sexe, Medii de rezidenta, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
Total, Total, Total, Covasna, Anul 2012, Numar persoane, 209713
Total, Total, Total, Covasna, Anul 2013, Numar persoane, 208976
Total, Total, Total, Covasna, Anul 2014, Numar persoane, 208628
Total, Total, Total, Covasna, Anul 2015, Numar persoane, 207596
Total, Total, Total, Covasna, Anul 2016, Numar persoane, 206322
Total, Total, Total, Harghita, Anul 2012, Numar persoane, 311048
Total, Total, Total, Harghita, Anul 2013, Numar persoane, 310842
Total, Total, Total, Harghita, Anul 2014, Numar persoane, 310360
Total, Total, Total, Harghita, Anul 2015, Numar persoane, 309138
Total, Total, Total, Harghita, Anul 2016, Numar persoane, 307552
Total, Total, Urban, Covasna, Anul 2012, Numar persoane, 100503
Total, Total, Urban, Covasna, Anul 2013, Numar persoane, 99827
Total, Total, Urban, Covasna, Anul 2014, Numar persoane, 99205
Total, Total, Urban, Covasna, Anul 2015, Numar persoane, 98447
Total, Total, Urban, Covasna, Anul 2016, Numar persoane, 97755
Total, Total, Urban, Harghita, Anul 2012, Numar persoane, 133236
Total, Total, Urban, Harghita, Anul 2013, Numar persoane, 133425
Total, Total, Urban, Harghita, Anul 2014, Numar persoane, 132588
Total, Total, Urban, Harghita, Anul 2015, Numar persoane, 131455
Total, Total, Urban, Harghita, Anul 2016, Numar persoane, 130453
Total, Total, Rural, Covasna, Anul 2012, Numar persoane, 109210
Total, Total, Rural, Covasna, Anul 2013, Numar persoane, 109149
Total, Total, Rural, Covasna, Anul 2014, Numar persoane, 109423
Total, Total, Rural, Covasna, Anul 2015, Numar persoane, 109149
Total, Total, Rural, Covasna, Anul 2016, Numar persoane, 108567
Total, Total, Rural, Harghita, Anul 2012, Numar persoane, 177812
Total, Total, Rural, Harghita, Anul 2013, Numar persoane, 177417
Total, Total, Rural, Harghita, Anul 2014, Numar persoane, 177772
Total, Total, Rural, Harghita, Anul 2015, Numar persoane, 177683
Total, Total, Rural, Harghita, Anul 2016, Numar persoane, 177099
Total, Masculin, Total, Covasna, Anul 2012, Numar persoane, 103281
Total, Masculin, Total, Covasna, Anul 2013, Numar persoane, 103242
Total, Masculin, Total, Covasna, Anul 2014, Numar persoane, 103336
Total, Masculin, Total, Covasna, Anul 2015, Numar persoane, 102866
Total, Masculin, Total, Covasna, Anul 2016, Numar persoane, 102140
Total, Masculin, Total, Harghita, Anul 2012, Numar persoane, 153621
Total, Masculin, Total, Harghita, Anul 2013, Numar persoane, 153812
Total, Masculin, Total, Harghita, Anul 2014, Numar persoane, 153863
Total, Masculin, Total, Harghita, Anul 2015, Numar persoane, 153241
Total, Masculin, Total, Harghita, Anul 2016, Numar persoane, 152147
